Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL3264125,,None,397.42,0,4.86,65,CCOP(=O)(CC)c1cccc(Nc2cc(-c3ccccc3OC)ncn2)c1,IC50,'=',842,nM,6.08,,,UO_0000065,15.29,0.3,1.21,8.28,0,CHEMBL3267548,Inhibition of CDK9/CycT1 (unknown origin) using TAMRA-Rbtide and ATP as substrate after 1 hr,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL2111389,CDK9/cyclin T1,Homo sapiens,PROTEIN COMPLEX,CHEMBL3259517,1,Scientific Literature,J Med Chem,2014,None,,,,842
CHEMBL3264154,,None,443.46,1,6.26,88,CCCP(=O)(Cc1cccc(Nc2cc(-c3ccc(F)cc3OC)ncn2)c1)OCC,IC50,'=',186,nM,6.73,,,UO_0000065,15.18,0.3,0.47,9.18,0,CHEMBL3267548,Inhibition of CDK9/CycT1 (unknown origin) using TAMRA-Rbtide and ATP as substrate after 1 hr,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL2111389,CDK9/cyclin T1,Homo sapiens,PROTEIN COMPLEX,CHEMBL3259517,1,Scientific Literature,J Med Chem,2014,None,,,,186
CHEMBL4740156,,None,401.51,0,4.78,19,Cc1ccc(-c2ccnc(Nc3ccc4c(c3)N(C(C)C)[C@H](C)C(=O)N4C)n2)cc1,IC50,'=',488.5,nM,6.31,,,UO_0000065,15.72,0.29,1.53,10.29,0,CHEMBL4728482,Inhibition of human CDK9 by mobility shift assay relative to control,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3116,Cyclin-dependent kinase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4725348,1,Scientific Literature,J Med Chem,2020,None,,INHIBITOR,,488.5
CHEMBL4761833,,None,484.65,1,6.21,29,CC(C)N1c2cc(Nc3nccc(-c4cccc(NC5CCCCC5)c4)n3)ccc2N(C)C(=O)[C@H]1C,IC50,'=',168.8,nM,6.77,,,UO_0000065,13.97,0.26,0.56,9.23,0,CHEMBL4728482,Inhibition of human CDK9 by mobility shift assay relative to control,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3116,Cyclin-dependent kinase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4725348,1,Scientific Literature,J Med Chem,2020,None,,INHIBITOR,,168.8
CHEMBL4749819,,None,416.53,0,4.36,32,Cc1ccc(N)cc1-c1ccnc(Nc2ccc3c(c2)N(C(C)C)[C@H](C)C(=O)N3C)n1,IC50,'=',151.2,nM,6.82,,,UO_0000065,16.37,0.3,2.46,7.81,0,CHEMBL4728482,Inhibition of human CDK9 by mobility shift assay relative to control,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3116,Cyclin-dependent kinase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4725348,1,Scientific Literature,J Med Chem,2020,None,,INHIBITOR,,151.2
CHEMBL4783301,,None,472.98,1,5.67,42,CC(C)N1c2cc(Nc3ncc(Cl)c(-c4cncc5ccccc45)n3)ccc2N(C)C(=O)[C@H]1C,IC50,'=',23,nM,7.64,,,UO_0000065,16.15,0.31,1.97,10.29,0,CHEMBL4728482,Inhibition of human CDK9 by mobility shift assay relative to control,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3116,Cyclin-dependent kinase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4725348,1,Scientific Literature,J Med Chem,2020,None,,INHIBITOR,,23
CHEMBL5440541,,None,478.04,0,4.45,24,Cl.N[C@H]1CCN(c2c3c(nc4ccc(-c5ccnc(NC(=O)C6CC6)c5)cc24)CCCCC3)C1,IC50,'=',2.19,nM,8.66,,,UO_0000065,19.61,0.36,4.21,10.29,0,CHEMBL5353310,Inhibition of CDK9/CyclinT1 (unknown origin) by ADP-Glo kinase assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL2111389,CDK9/cyclin T1,Homo sapiens,PROTEIN COMPLEX,CHEMBL5352406,1,Scientific Literature,Eur J Med Chem,2022,None,,INHIBITOR,,2.19
CHEMBL3402060,,None,217.24,0,1.39,IVc,Cn1nc(N)c(/N=N/c2ccncc2)c1N,IC50,'=',1350,nM,5.87,,,UO_0000065,27.02,0.5,4.48,5.46,0,CHEMBL3406337,Inhibition of CDK9/cyclin T1 (unknown origin) expressed in baculovirus infected Sf9 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL2111389,CDK9/cyclin T1,Homo sapiens,PROTEIN COMPLEX,CHEMBL3400068,1,Scientific Literature,Bioorg Med Chem,2015,CHEMBL3308860,,,,1.35
CHEMBL1782170,,None,265.27,0,1.96,7b,O=C1Cc2c([nH]c3cc[n+]([O-])cc23)-c2ccccc2N1,IC50,'=',240,nM,6.62,,,UO_0000065,24.95,0.45,4.66,9.22,0,CHEMBL1786933,Inhibition of human recombinant CDK9/cyclin T expressed in insect cells assessed as incorporation of [gamma-33P]-ATP in to pRB fragment (773 to 928) substrate after 30 mins by scintillation counting,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL2111389,CDK9/cyclin T1,Homo sapiens,PROTEIN COMPLEX,CHEMBL1781921,1,Scientific Literature,Bioorg Med Chem Lett,2010,None,,,,0.24
CHEMBL2103840,DINACICLIB,3,396.5,0,2.28,4,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@H]3CCO)nc12,IC50,'=',4,nM,8.4,,,UO_0000065,21.18,0.4,6.12,9.07,1,CHEMBL4403344,Inhibition of CDK9 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3116,Cyclin-dependent kinase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4402527,1,Scientific Literature,Eur J Med Chem,2019,None,,,,4
