Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL3401362,,None,255.28,0,1.92,C4,Cc1ccc(-c2nc3c(O)nc(N)nc3[nH]2)c(C)c1,IC50,'>',20000,nM,,,,UO_0000065,,,,,0,CHEMBL3404251,Inhibition of FGFR4 (unknown origin) after 90 mins by TR-FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3973,Fibroblast growth factor receptor 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3399963,1,Scientific Literature,Bioorg Med Chem Lett,2015,None,,,,20
CHEMBL3401360,,None,257.25,0,1.32,C2,COc1ccccc1-c1nc2c(O)nc(N)nc2[nH]1,IC50,'>',20000,nM,,,,UO_0000065,,,,,0,CHEMBL3404251,Inhibition of FGFR4 (unknown origin) after 90 mins by TR-FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3973,Fibroblast growth factor receptor 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3399963,1,Scientific Literature,Bioorg Med Chem Lett,2015,None,,,,20
CHEMBL502835,NINTEDANIB,4,539.64,1,3.62,BIBF 1120,COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1,IC50,'=',610,nM,6.21,,,UO_0000065,11.52,0.21,2.59,6.6,0,CHEMBL1244085,Inhibition of human FGFR4,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3973,Fibroblast growth factor receptor 4,Homo sapiens,SINGLE PROTEIN,CHEMBL1240338,1,Scientific Literature,Cancer Res,2008,None,,,,610
CHEMBL5082992,,None,442.48,0,3.25,9m,CC(C)Oc1cc(NC(=O)N2CCCc3ccc(C=O)nc32)ncc1C#Cc1cncnc1,IC50,'=',5.9,nM,8.23,,,UO_0000065,18.6,0.34,4.98,7.47,0,CHEMBL5048527,Inhibition of FGFR4 (unknown origin) using Tyr 04 peptide substrate measured after 2 hrs by FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3973,Fibroblast growth factor receptor 4,Homo sapiens,SINGLE PROTEIN,CHEMBL5046271,1,Scientific Literature,J Med Chem,2022,None,TIME = 2.0 hr,INHIBITOR,,5.9
CHEMBL3348846,FEXAGRATINIB,2,463.58,0,3.65,AZD4547,COc1cc(CCc2cc(NC(=O)c3ccc(N4C[C@@H](C)N[C@@H](C)C4)cc3)n[nH]2)cc(OC)c1,IC50,'=',45.7,nM,7.34,,,UO_0000065,15.83,0.29,3.69,8.02,0,CHEMBL4426419,Inhibition of human FGFR4 using poly (Glu,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL5283169,,None,492.61,0,3.56,22,COc1cccc(S(=O)(=O)n2ccc3cnc(Nc4ccc(N5CCC(N(C)C)C5)cc4)nc32)c1,IC50,'=',41.8,nM,7.38,,,UO_0000065,14.98,0.29,3.82,7.97,0,CHEMBL5239771,Inhibition of FGFR4 (unknown origin) using TK as substrate incubated for 1 hr in presence of biotin/ATP by HTRF assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3973,Fibroblast growth factor receptor 4,Homo sapiens,SINGLE PROTEIN,CHEMBL5236620,1,Scientific Literature,J Med Chem,2022,None,TIME = 1.0 hr,INHIBITOR,,41.8
CHEMBL5279776,,None,532.55,1,4.06,34,CN1CCN(c2ccc(Nc3ncc4ccn(S(=O)(=O)c5ccccc5OC(F)(F)F)c4n3)cc2)CC1,IC50,'=',36.8,nM,7.43,,,UO_0000065,13.96,0.27,3.37,8.03,0,CHEMBL5239771,Inhibition of FGFR4 (unknown origin) using TK as substrate incubated for 1 hr in presence of biotin/ATP by HTRF assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3973,Fibroblast growth factor receptor 4,Homo sapiens,SINGLE PROTEIN,CHEMBL5236620,1,Scientific Literature,J Med Chem,2022,None,TIME = 1.0 hr,INHIBITOR,,36.8
CHEMBL5172762,,None,553.45,2,6.58,A11,C=CC(=O)Nc1cccc(C)c1Nc1cc2c(cn1)cc(-c1c(Cl)c(OC)cc(OC)c1Cl)c(=O)n2CC,IC50,'=',6.4,nM,8.19,,,UO_0000065,14.8,0.29,1.61,8.67,0,CHEMBL5168104,Inhibition of FGFR4 (unknown origin) using Poly (Glu,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL5189122,,None,593.51,2,7.68,A14,C=CC(=O)Nc1cccc(C)c1Nc1cc2c(cn1)cc(-c1c(Cl)c(OC)cc(OC)c1Cl)c(=O)n2C1CCCC1,IC50,'=',40,nM,7.4,,,UO_0000065,12.46,0.25,-0.28,7.83,0,CHEMBL5168104,Inhibition of FGFR4 (unknown origin) using Poly (Glu,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL5193663,,None,681.62,2,6.43,A21,C=CC(=O)Nc1cc(N2CCN(CC)CC2)cc(OC)c1Nc1cc2c(cn1)cc(-c1c(Cl)c(OC)cc(OC)c1Cl)c(=O)n2CC,IC50,'=',2.6,nM,8.59,,,UO_0000065,12.6,0.25,2.16,7.79,0,CHEMBL5168104,Inhibition of FGFR4 (unknown origin) using Poly (Glu,,,,,,,,,,,,,,,,,,,,,,,,,
