Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL5084032,,None,454.6,0,3.89,Example 100-1,O=C(Nc1cccc(S(=O)(=O)N2CCCCC2)c1)c1cccnc1N1CCC2(CC1)CC2,IC50,'=',342,nM,6.47,,,UO_0000065,14.22,0.28,2.58,7.83,0,CHEMBL5053357,Inhibition of recombinant His-tagged human KIF18A (1 to 467 residues) expressed in baculovirus expression system assessed as inhibition of microtubule-stimulated ATPase activity preincubated for 15 mins followed by ATP addition and further incubated for 15 mins and measured after 40 mins by ADP-Glo reagent based assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4523403,Kinesin-like protein KIF18A,Homo sapiens,SINGLE PROTEIN,CHEMBL5052846,38,SureChEMBL Patent Bioactivity Data,,2021,None,TIME = 0.25 hr,INHIBITOR,,0.342
CHEMBL5094888,,None,460.58,0,3.74,Example 101-8,CC(C)(CF)NS(=O)(=O)c1cccc(NC(=O)c2cccnc2N2CCC3(CC2)CC3)c1,IC50,'=',279,nM,6.55,,,UO_0000065,14.23,0.28,2.81,7.17,0,CHEMBL5053357,Inhibition of recombinant His-tagged human KIF18A (1 to 467 residues) expressed in baculovirus expression system assessed as inhibition of microtubule-stimulated ATPase activity preincubated for 15 mins followed by ATP addition and further incubated for 15 mins and measured after 40 mins by ADP-Glo reagent based assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4523403,Kinesin-like protein KIF18A,Homo sapiens,SINGLE PROTEIN,CHEMBL5052846,38,SureChEMBL Patent Bioactivity Data,,2021,None,TIME = 0.25 hr,INHIBITOR,,0.279
CHEMBL5092288,,None,527.69,1,3.36,Example 102-13,CC1(O)CN(c2ccc(C(=O)Nc3cccc(S(=O)(=O)NC(C)(C)C)c3)c(N3CCC4(CC3)CC4)n2)C1,IC50,'=',196,nM,6.71,,,UO_0000065,12.71,0.25,3.35,5.84,0,CHEMBL5053357,Inhibition of recombinant His-tagged human KIF18A (1 to 467 residues) expressed in baculovirus expression system assessed as inhibition of microtubule-stimulated ATPase activity preincubated for 15 mins followed by ATP addition and further incubated for 15 mins and measured after 40 mins by ADP-Glo reagent based assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4523403,Kinesin-like protein KIF18A,Homo sapiens,SINGLE PROTEIN,CHEMBL5052846,38,SureChEMBL Patent Bioactivity Data,,2021,None,TIME = 0.25 hr,INHIBITOR,,0.196
CHEMBL5084937,,None,541.72,1,4.12,Example 102-18,CC(C)(C)NS(=O)(=O)c1cccc(NC(=O)c2ccc(N[C@@H]3CCC[C@H]3O)nc2N2CCC3(CC2)CC3)c1,IC50,'=',107,nM,6.97,,,UO_0000065,12.87,0.25,2.85,5.64,0,CHEMBL5053357,Inhibition of recombinant His-tagged human KIF18A (1 to 467 residues) expressed in baculovirus expression system assessed as inhibition of microtubule-stimulated ATPase activity preincubated for 15 mins followed by ATP addition and further incubated for 15 mins and measured after 40 mins by ADP-Glo reagent based assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4523403,Kinesin-like protein KIF18A,Homo sapiens,SINGLE PROTEIN,CHEMBL5052846,38,SureChEMBL Patent Bioactivity Data,,2021,None,TIME = 0.25 hr,INHIBITOR,,0.107
CHEMBL5089118,,None,543.73,1,4.36,Example 103-28,CC(C)(C)NS(=O)(=O)c1cccc(NC(=O)c2ccc(NC(C)(C)CCO)nc2N2CCC3(CC2)CC3)c1,IC50,'=',80,nM,7.1,,,UO_0000065,13.05,0.26,2.74,5.74,0,CHEMBL5053357,Inhibition of recombinant His-tagged human KIF18A (1 to 467 residues) expressed in baculovirus expression system assessed as inhibition of microtubule-stimulated ATPase activity preincubated for 15 mins followed by ATP addition and further incubated for 15 mins and measured after 40 mins by ADP-Glo reagent based assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4523403,Kinesin-like protein KIF18A,Homo sapiens,SINGLE PROTEIN,CHEMBL5052846,38,SureChEMBL Patent Bioactivity Data,,2021,None,TIME = 0.25 hr,INHIBITOR,,0.08
CHEMBL5092945,,None,547.7,1,4.11,Example 105-23,CC(C)(C)NS(=O)(=O)c1cccc(NC(=O)c2ccc(NC(C)(C)CO)nc2N2CCC3(CC2)CC3)c1F,IC50,'=',177,nM,6.75,,,UO_0000065,12.33,0.24,2.64,5.46,0,CHEMBL5053357,Inhibition of recombinant His-tagged human KIF18A (1 to 467 residues) expressed in baculovirus expression system assessed as inhibition of microtubule-stimulated ATPase activity preincubated for 15 mins followed by ATP addition and further incubated for 15 mins and measured after 40 mins by ADP-Glo reagent based assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4523403,Kinesin-like protein KIF18A,Homo sapiens,SINGLE PROTEIN,CHEMBL5052846,38,SureChEMBL Patent Bioactivity Data,,2021,None,TIME = 0.25 hr,INHIBITOR,,0.177
CHEMBL1990168,,None,297.72,0,3.08,SID508070,O=[N+]([O-])c1cc(Cl)ccc1S(=O)(=O)c1ccccc1,GI50,,17258.38,nM,,,inactive,UO_0000065,,,,,0,CHEMBL1963844,PUBCHEM_BIOASSAY: NCI human tumor cell line growth inhibition assay. Data for the SK-MEL-2 Melanoma cell line. (Class of assay: confirmatory) ,F,BAO_0000219,cell-based format,None,None,None,SK-MEL-2,None,,,,CHEMBL614917,SK-MEL-2,Homo sapiens,CELL-LINE,CHEMBL1201862,7,PubChem BioAssays,,,CHEMBL3307743,,,,-4.763
CHEMBL5091571,,None,546.64,1,4.02,Example 11-78,Cc1cc(NC(=O)c2ccc(NS(=O)(=O)CC3CC3)cc2N2CCC3(CC2)CC3)nc(N2CC(F)(F)C2)n1,IC50,'=',125,nM,6.9,,,UO_0000065,12.63,0.25,2.88,6.42,0,CHEMBL5052929,Inhibition of recombinant His-tagged human KIF18A (1 to 467 residues) expressed in baculovirus expression system assessed as inhibition of microtubule-stimulated ATPase activity preincubated for 15 mins followed by ATP addition and further incubated for 15 mins and measured after 40 mins by ADP-Glo reagent based assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4523403,Kinesin-like protein KIF18A,Homo sapiens,SINGLE PROTEIN,CHEMBL5052826,38,SureChEMBL Patent Bioactivity Data,,2020,None,TIME = 0.25 hr,INHIBITOR,,0.125
CHEMBL5089318,,None,548.66,1,4.41,Example 11-83,Cc1cc(NC(=O)c2ccc(NS(=O)(=O)C(C)(C)C)cc2N2CCC3(CC2)CC3)nc(N2CC(F)(F)C2)n1,IC50,'=',98,nM,7.01,,,UO_0000065,12.77,0.25,2.6,6.52,0,CHEMBL5052929,Inhibition of recombinant His-tagged human KIF18A (1 to 467 residues) expressed in baculovirus expression system assessed as inhibition of microtubule-stimulated ATPase activity preincubated for 15 mins followed by ATP addition and further incubated for 15 mins and measured after 40 mins by ADP-Glo reagent based assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4523403,Kinesin-like protein KIF18A,Homo sapiens,SINGLE PROTEIN,CHEMBL5052826,38,SureChEMBL Patent Bioactivity Data,,2020,None,TIME = 0.25 hr,INHIBITOR,,0.098
CHEMBL5077725,,None,577.7,1,4.2,Example 14,Cc1cc(NC(=O)c2ccc(S(=O)(=O)C(C)(C)CO)cc2N2CCC3(CC2)CC3)nc(N2CCC(F)(F)CC2)n1,IC50,'=',122,nM,6.91,,,UO_0000065,11.97,0.24,2.71,5.97,0,CHEMBL5052929,Inhibition of recombinant His-tagged human KIF18A (1 to 467 residues) expressed in baculovirus expression system assessed as inhibition of microtubule-stimulated ATPase activity preincubated for 15 mins followed by ATP addition and further incubated for 15 mins and measured after 40 mins by ADP-Glo reagent based assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4523403,Kinesin-like protein KIF18A,Homo sapiens,SINGLE PROTEIN,CHEMBL5052826,38,SureChEMBL Patent Bioactivity Data,,2020,None,TIME = 0.25 hr,INHIBITOR,,0.122
